Date,Price,Open,High,Low,Volume,Change,Year
2023-01-23,22915.5,22709.0,23161.8,22527.9,327850.0,0.91,2023
2023-01-24,22632.5,22916.3,23156.1,22517.1,334170.0,-1.23,2023
2023-01-25,23055.1,22632.5,23779.0,22366.3,388180.0,1.87,2023
2023-01-26,23016.0,23055.2,23259.5,22869.0,320970.0,-0.17,2023
2023-01-27,23074.6,23016.0,23480.3,22602.9,310360.0,0.25,2023
2023-01-28,23027.9,23074.6,23182.3,22889.8,156960.0,-0.2,2023
2023-01-29,23753.1,23023.5,23952.9,22973.3,320860.0,3.15,2023
2023-01-30,22832.2,23746.0,23794.0,22560.0,339620.0,-3.88,2023
2023-01-31,23125.1,22832.2,23262.9,22724.9,289380.0,1.28,2023
2023-02-01,23725.6,23124.7,23784.5,22809.6,333180.0,2.6,2023
2023-02-02,23427.6,23726.2,24207.2,23398.1,382860.0,-1.26,2023
2023-02-03,23431.2,23429.1,23694.1,23233.8,349360.0,0.02,2023
2023-02-04,23323.8,23431.2,23571.8,23269.8,170270.0,-0.46,2023
2023-02-05,22936.0,23326.9,23423.4,22766.5,217260.0,-1.66,2023
2023-02-06,22761.8,22936.0,23130.6,22633.7,278580.0,-0.76,2023
2023-02-07,23251.7,22761.8,23338.8,22748.2,318980.0,2.15,2023
2023-02-08,22964.6,23251.7,23425.1,22691.7,289120.0,-1.23,2023
2023-02-09,21792.5,22964.6,23003.6,21744.6,425440.0,-5.1,2023
2023-02-10,21635.0,21792.5,21933.6,21491.7,352790.0,-0.72,2023
2023-02-11,21859.8,21627.4,21902.9,21605.3,182070.0,1.04,2023
2023-02-12,21786.8,21859.9,22080.7,21653.1,211650.0,-0.33,2023
2023-02-13,21772.6,21782.7,21887.5,21418.7,312040.0,-0.07,2023
2023-02-14,22198.5,21776.9,22308.6,21556.2,378390.0,1.96,2023
2023-02-15,24327.9,22198.5,24330.9,22050.8,401530.0,9.59,2023
2023-02-16,23539.6,24328.1,25233.8,23525.9,484500.0,-3.24,2023
2023-02-17,24573.5,23538.2,24984.7,23373.0,523850.0,4.39,2023
2023-02-18,24631.4,24573.5,24838.9,24457.0,223770.0,0.24,2023
2023-02-19,24302.9,24631.3,25175.2,24273.7,312640.0,-1.33,2023
2023-02-20,24839.5,24302.8,25085.4,23868.6,363020.0,2.21,2023
2023-02-21,24450.7,24839.5,25236.8,24160.8,395970.0,-1.57,2023
2023-02-22,24186.6,24450.7,24474.3,23593.4,400240.0,-1.08,2023
2023-02-23,23936.3,24186.6,24590.4,23637.9,417460.0,-1.03,2023
2023-02-24,23191.5,23936.4,24123.4,22970.3,367990.0,-3.11,2023
2023-02-25,23166.1,23191.3,23215.3,22777.4,198350.0,-0.11,2023
2023-02-26,23558.7,23166.1,23671.8,23066.0,209120.0,1.69,2023
2023-02-27,23494.1,23558.7,23876.2,23166.8,297650.0,-0.27,2023
2023-02-28,23130.5,23494.0,23595.0,23033.8,275100.0,-1.55,2023
2023-03-01,23642.2,23130.6,23914.1,23025.3,328770.0,2.21,2023
2023-03-02,23465.4,23642.2,23780.5,23208.7,249260.0,-0.75,2023
2023-03-03,22354.4,23465.6,23473.4,22051.9,344630.0,-4.73,2023
2023-03-04,22347.1,22354.7,22403.7,22167.4,123930.0,-0.03,2023
2023-03-05,22428.3,22347.1,22636.7,22213.5,160570.0,0.36,2023
2023-03-06,22410.0,22428.2,22595.4,22320.1,215310.0,-0.08,2023
2023-03-07,22197.8,22410.1,22535.1,21968.6,304750.0,-0.95,2023
2023-03-08,21710.8,22197.8,22274.3,21661.3,316510.0,-2.19,2023
2023-03-09,20361.8,21710.8,21826.5,20079.6,468760.0,-6.21,2023
2023-03-10,20156.7,20362.0,20362.6,19591.8,655270.0,-1.01,2023
2023-03-11,20467.5,20156.5,20669.5,19796.7,453460.0,1.54,2023
2023-03-12,21994.8,20465.0,22028.6,20294.2,455690.0,7.46,2023
2023-03-13,24114.4,21994.8,24406.2,21859.6,733630.0,9.64,2023
2023-03-14,24699.7,24121.5,26365.9,23994.6,753060.0,2.43,2023
2023-03-15,24282.7,24699.6,25108.9,23932.4,614310.0,-1.69,2023
2023-03-16,25004.1,24283.2,25139.0,24147.9,462580.0,2.97,2023
2023-03-17,27391.8,25004.4,27742.2,24900.1,674960.0,9.55,2023
2023-03-18,26914.5,27391.9,27659.1,26688.7,392470.0,-1.74,2023
2023-03-19,27958.7,26914.5,28347.3,26844.6,393270.0,3.88,2023
2023-03-20,27720.5,27958.9,28457.8,27157.0,503900.0,-0.85,2023
2023-03-21,28114.0,27719.8,28437.8,27350.6,438780.0,1.42,2023
2023-03-22,27261.7,28114.2,28760.3,26668.7,262029.99999999997,-3.03,2023
2023-03-23,28310.7,27262.8,28734.1,27144.6,158460.0,3.85,2023
2023-03-24,27462.2,28306.9,28374.5,27026.5,110360.0,-3.0,2023
2023-03-25,27475.6,27462.2,27761.9,27176.7,61360.0,0.05,2023
2023-03-26,27973.5,27474.9,28153.7,27429.1,60640.0,1.81,2023
2023-03-27,27129.8,27974.8,28023.3,26611.5,107240.0,-3.02,2023
2023-03-28,27262.2,27127.8,27465.0,26665.6,94160.0,0.49,2023
2023-03-29,28350.4,27262.9,28627.4,27249.8,109320.0,3.99,2023
2023-03-30,28029.5,28350.3,29160.4,27716.7,122510.0,-1.13,2023
2023-03-31,28473.7,28029.3,28646.3,27587.5,98440.0,1.58,2023
2023-04-01,28456.1,28473.7,28795.1,28285.6,38090.0,-0.06,2023
2023-04-02,28198.3,28456.1,28522.8,27871.7,45040.0,-0.91,2023
2023-04-03,27802.1,28194.7,28458.4,27256.9,98000.0,-1.41,2023
2023-04-04,28164.4,27802.2,28429.1,27668.9,64060.0,1.3,2023
2023-04-05,28173.5,28164.4,28744.4,27823.5,77320.0,0.03,2023
2023-04-06,28036.7,28173.5,28173.5,27734.5,51290.0,-0.49,2023
2023-04-07,27910.4,28037.6,28102.5,27779.4,30940.0,-0.45,2023
2023-04-08,27941.2,27910.4,28153.1,27863.8,23730.0,0.11,2023
2023-04-09,28326.6,27941.2,28522.7,27809.2,39350.0,1.38,2023
2023-04-10,29641.0,28326.5,29755.4,28182.9,85730.0,4.64,2023
2023-04-11,30209.6,29641.0,30484.6,29597.8,89380.0,1.92,2023
2023-04-12,29886.4,30209.8,30473.0,29679.5,78690.0,-1.07,2023
2023-04-13,30387.4,29892.4,30524.1,29864.5,65870.0,1.68,2023
2023-04-14,30472.5,30387.4,30964.9,30026.0,98380.0,0.28,2023
2023-04-15,30299.6,30472.6,30586.5,30208.8,31710.0,-0.57,2023
2023-04-16,30310.3,30299.2,30545.3,30134.6,34480.0,0.04,2023
2023-04-17,29434.9,30310.8,30312.2,29274.0,71900.0,-2.89,2023
2023-04-18,30382.2,29434.1,30470.1,29149.2,76580.0,3.22,2023
2023-04-19,28813.7,30382.2,30408.4,28641.1,111270.0,-5.16,2023
2023-04-20,28240.5,28813.7,29082.1,28032.4,95450.0,-1.99,2023
2023-04-21,27264.8,28240.5,28353.4,27171.1,98720.0,-3.46,2023
2023-04-22,27813.9,27264.8,27872.0,27165.7,44300.0,2.01,2023
2023-04-23,27591.4,27813.8,27815.0,27388.5,41770.0,-0.8,2023
2023-04-24,27509.3,27591.4,27978.8,27054.3,66740.0,-0.3,2023
2023-04-25,28298.8,27510.1,28375.6,27201.1,65310.0,2.87,2023
2023-04-26,28424.6,28298.8,29995.7,27307.8,164310.0,0.44,2023
2023-04-27,29475.9,28424.5,29859.8,28392.4,121630.0,3.7,2023
2023-04-28,29321.8,29475.9,29587.2,28927.8,69880.0,-0.52,2023
2023-04-29,29234.1,29318.4,29425.5,29058.5,25720.0,-0.3,2023
2023-04-30,29252.1,29235.1,29941.3,29095.0,47620.0,0.06,2023
2023-05-01,28077.6,29252.1,29329.6,27685.9,84360.0,-4.02,2023
2023-05-02,28669.1,28079.0,28877.4,27913.2,65330.0,2.11,2023
2023-05-03,29023.6,28669.1,29244.7,28164.4,81220.0,1.24,2023
2023-05-04,28842.1,29023.6,29352.7,28687.4,53800.0,-0.63,2023
2023-05-05,29513.2,28842.2,29653.9,28825.3,74520.0,2.33,2023
2023-05-06,28857.1,29512.8,29816.4,28414.9,58940.0,-2.22,2023
2023-05-07,28424.8,28857.1,29122.0,28419.6,36500.0,-1.5,2023
2023-05-08,27670.5,28424.8,28627.8,27280.3,85720.0,-2.65,2023
2023-05-09,27634.9,27670.5,27816.0,27366.3,49750.0,-0.13,2023
